audio_id,split,speaker
ddc_dzo_04217,labeled,Romeo
ddc_dzo_00009,labeled,Romeo
ddc_dzo_00013,labeled,Romeo
ddc_dzo_00001,labeled,Romeo
ddc_dzo_00015,labeled,Romeo
ddc_dzo_00014,labeled,Romeo
ddc_dzo_00005,labeled,Romeo
ddc_dzo_00006,labeled,Romeo
ddc_dzo_00023,labeled,Romeo
ddc_dzo_00003,labeled,Romeo
ddc_dzo_00007,labeled,Dorji
ddc_dzo_00008,labeled,Thinley
ddc_dzo_01836,labeled,Namgay
ddc_dzo_00019,labeled,Romeo
ddc_dzo_08853,labeled,Romeo
ddc_dzo_00046,labeled,Romeo
ddc_dzo_00048,labeled,Romeo
ddc_dzo_00039,labeled,Romeo
ddc_dzo_00045,labeled,Romeo
ddc_dzo_00051,labeled,Romeo
ddc_dzo_00029,labeled,Dorji
ddc_dzo_00032,labeled,Romeo
ddc_dzo_00042,labeled,Romeo
ddc_dzo_00041,labeled,Dorji
ddc_dzo_00053,labeled,Romeo
ddc_dzo_09137,labeled,Romeo
ddc_dzo_00082,labeled,Romeo
ddc_dzo_00073,labeled,Thinley
ddc_dzo_00066,labeled,Romeo
ddc_dzo_00056,labeled,Romeo
ddc_dzo_00069,labeled,Dorji
ddc_dzo_00063,labeled,Romeo
ddc_dzo_00075,labeled,Romeo
ddc_dzo_00083,labeled,Romeo
ddc_dzo_00061,labeled,Thinley
ddc_dzo_00070,labeled,Thinley
ddc_dzo_00057,labeled,Romeo
ddc_dzo_01034,labeled,Thinley
ddc_dzo_00078,labeled,Dorji
ddc_dzo_00080,labeled,Thinley
ddc_dzo_00067,labeled,Romeo
ddc_dzo_06116,labeled,Romeo
ddc_dzo_00100,labeled,Romeo
ddc_dzo_00094,labeled,Romeo
ddc_dzo_00101,labeled,Romeo
ddc_dzo_00107,labeled,Romeo
ddc_dzo_00098,labeled,Romeo
ddc_dzo_00089,labeled,Romeo
ddc_dzo_03225,labeled,Dorji
ddc_dzo_09420,labeled,Thinley
ddc_dzo_00091,labeled,Romeo
ddc_dzo_00111,labeled,Romeo
ddc_dzo_00090,labeled,Romeo
ddc_dzo_00096,labeled,Romeo
ddc_dzo_00102,labeled,Dorji
ddc_dzo_00092,labeled,Thinley
ddc_dzo_00103,labeled,Romeo
ddc_dzo_00084,labeled,Romeo
ddc_dzo_00105,labeled,Romeo
ddc_dzo_00138,labeled,Romeo
ddc_dzo_00123,labeled,Romeo
ddc_dzo_00121,labeled,Namgay
ddc_dzo_00131,labeled,Romeo
ddc_dzo_00113,labeled,Romeo
ddc_dzo_00112,labeled,Thinley
ddc_dzo_00124,labeled,Romeo
ddc_dzo_00136,labeled,Romeo
ddc_dzo_00122,labeled,Thinley
ddc_dzo_00115,labeled,Romeo
ddc_dzo_00126,labeled,Thinley
ddc_dzo_00133,labeled,Romeo
ddc_dzo_00134,labeled,Romeo
ddc_dzo_04727,labeled,Romeo
ddc_dzo_09873,labeled,Dorji
ddc_dzo_00144,labeled,Romeo
ddc_dzo_00147,labeled,Romeo
ddc_dzo_00154,labeled,Romeo
ddc_dzo_00158,labeled,Romeo
ddc_dzo_00145,labeled,Romeo
ddc_dzo_00153,labeled,Dorji
ddc_dzo_00143,labeled,Romeo
ddc_dzo_00155,labeled,Dorji
ddc_dzo_00164,labeled,Romeo
ddc_dzo_00150,labeled,Romeo
ddc_dzo_00142,labeled,Romeo
ddc_dzo_00141,labeled,Romeo
ddc_dzo_07644,labeled,Romeo
ddc_dzo_00180,labeled,Romeo
ddc_dzo_00188,labeled,Romeo
ddc_dzo_00172,labeled,Romeo
ddc_dzo_00187,labeled,Romeo
ddc_dzo_00181,labeled,Romeo
ddc_dzo_00175,labeled,Dorji
ddc_dzo_00167,labeled,Namgay
ddc_dzo_00170,labeled,Dorji
ddc_dzo_00171,labeled,Romeo
ddc_dzo_00189,labeled,Romeo
ddc_dzo_00183,labeled,Romeo
ddc_dzo_00173,labeled,Romeo
ddc_dzo_00191,labeled,Romeo
ddc_dzo_00166,labeled,Romeo
